lakeid,cuvette_use,a254_10,a280_10,a300_10,a320_10,a365_10,a400_10,a420_10,a440_10,a254_a365_10,S_10,a254_1,a280_1,a300_1,a320_1,a365_1,a400_1,a420_1,a440_1,a254_a365_1,S
1129400,1,68.21177974,54.73827975,42.79578538,32.170607,16.06824691,8.8078235,6.510293125,4.99117675,4.245128926,14.58573909,77.89333265,56.494893,42.6458025,31.997882,15.74935338,8.49807,6.1870095,4.681999,4.945811475,15.09084532
1122300,1,68.28050126,54.99345215,42.42269938,31.8739806,16.45031461,9.9155665,7.694495725,6.01693295,4.150710968,13.27587447,77.03932268,57.4241535,42.99988875,32.513754,16.96893581,10.328955,8.20271025,6.5140355,4.540020867,12.7563036
1116500,1,68.80267772,55.7045034,43.745485,33.4446266,17.8583832,10.577679,8.1300506,6.4147762,3.852682348,13.02411045,76.73192975,57.379245,43.6706375,33.48562,17.74317563,10.38653,7.9165625,6.183555,4.324588302,13.31368757
1598000,1,69.48888832,62.46076333,53.42757717,40.97752742,21.52116516,11.8212455,8.612480277,6.333868948,3.228862741,14.79073038,92.00842739,70.10943535,53.30743719,40.74666154,21.116575,11.45410313,8.214990161,5.92118358,4.357166225,15.46909491
1110900,1,69.70239649,57.65618075,45.28878288,33.904766,16.70013253,9.5102385,7.158587625,5.47020075,4.173763074,14.41759635,80.16777545,59.930969,45.3172825,33.766586,16.58073638,9.41927,7.0575435,5.386717,4.834994878,14.49388126
2779500,1,70.06035178,57.65525955,44.73491138,33.7352652,17.06037931,9.6783575,7.197508325,5.44210415,4.106611613,14.48998618,81.40811368,59.7962435,44.47380875,33.527074,16.85954331,9.499875,7.05121025,5.3164755,4.828607286,14.6645574
20483,1,70.476406,58.394868,45.652369,34.600272,18.0520655,10.573073,8.009834,6.162828,3.904063277,13.73893205,82.05951723,60.9868945,45.70015625,34.696998,18.05220944,10.536225,7.98507675,6.0096785,4.545677221,13.89380386
1834600,1,71.28155783,61.2441396,47.2264695,34.9798064,17.34844143,9.640358,7.0616889,5.2568278,4.108816238,15.18652892,89.13266355,65.260111,47.4245275,35.047054,17.35972613,9.74169,7.1059065,5.299203,5.134451022,15.12208765
19925,1,71.91580434,66.63998197,61.19599894,46.12970627,23.54865767,12.86954726,9.572712426,7.331199998,3.053923725,14.39654645,106.1051546,78.90542346,59.74069313,44.43023633,22.00552124,11.55637234,8.239522108,6.042303664,4.821751481,16.00970833
20501,1,72.18153569,61.4069617,48.69635925,37.0405308,19.44540929,11.434395,8.67275255,6.6941301,3.712009072,13.60435471,87.24051875,65.301565,49.1287475,37.51587,19.67193813,11.60712,8.7686725,6.713245,4.434769884,13.61829936
607825,1,72.24023934,68.78211601,60.41679353,45.07082846,22.15351747,12.20617628,8.776651729,6.313673963,3.260892517,15.97092138,110.2813576,82.43863496,61.41715949,46.32368784,23.41504506,13.27134537,9.780914254,7.30693631,4.709850326,14.86223568
2311700,1,73.19354873,65.07253165,50.37092813,36.5237376,18.01333192,10.1781085,7.567254975,5.75323945,4.063298731,14.8143789,95.14602685,70.331317,50.1996425,36.516368,17.98671788,10.08714,7.4122055,5.658471,5.289793697,14.89933238
